json,主導企業名稱,計劃名稱,企業網址,計畫起訖時間,計畫總經費,計畫補助款,計畫自籌款,link
outputs/519.json,華通電腦股份有限公司,協同工程與金流電子化計畫,,"91年5月1日 至 93年4月30日","80,607 仟元","28,000 仟元","52,607 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=519
outputs/520.json,大同股份有限公司,大同公司產品研發協同作業體系,,"91年9月1日 至 93年6月30日","70,000 仟元","14,000 仟元","56,000 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=520
outputs/521.json,關貿網路股份有限公司,運籌服務系統(規劃案),,"90年10月1日 至 91年1月31日","5,937 仟元","1,500 仟元","4,437 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=521
outputs/522.json,康柏電腦股份有限公司,康柏台威計畫二(TaiLink)(規劃案),,"90年12月1日 至 91年2月28日","4,720 仟元","1,933 仟元","2,787 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=522
outputs/523.json,巨大機械工業股份有限公司,自行車全球協同研發系統環境建構,,"92年7月1日 至 94年6月30日","83,616 仟元","28,000 仟元","55,616 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=523
outputs/524.json,育冠企業股份有限公司,生活工場InterLiving國際協同運籌計畫(規劃案),,"92年6月1日 至 92年8月31日","4,304 仟元","800 仟元","3,504 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=524
outputs/525.json,永大數位動力股份有限公司,3D虛擬城市-數位都會資訊平台暨電子商務應用導入計畫,,"92年10月1日 至 94年9月30日","48,916 仟元","13,825 仟元","35,091 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=525
outputs/526.json,航網科技股份有限公司,LSP國際物流深化計畫,,"92年7月1日 至 94年6月30日","86,678 仟元","30,000 仟元","56,678 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=526
outputs/527.json,華碩電腦股份有限公司,華碩電腦-協同設計服務網,,"92年7月1日 至 94年6月30日","60,000 仟元","18,000 仟元","42,000 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=527
outputs/528.json,光陽工業股份有限公司,光陽示範性設計社群系統應用,,"92年9月1日 至 94年8月31日","61,657 仟元","16,000 仟元","45,657 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=528
outputs/529.json,建碁股份有限公司,建碁供應鏈清溪計劃,,"92年7月1日 至 94年9月30日","75,648 仟元","25,000 仟元","50,648 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=529
outputs/530.json,春水堂科技娛樂股份有限公司,網路虛擬化身服務--宙斯(Zeus計畫),,"92年11月1日 至 94年10月31日","45,057 仟元","16,220 仟元","28,837 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=530
outputs/531.json,太一信通股份有限公司,通路筆記型電腦代工廠全球運籌管理中心計畫,,"92年11月1日 至 93年12月3日","5,000 仟元","2,000 仟元","3,000 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=531
outputs/532.json,興采實業股份有限公司,機能性紡織品數位化協同設計開發計畫,,"92年10月1日 至 94年9月30日","49,026 仟元","18,000 仟元","31,026 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=532
outputs/533.json,聚陽實業股份有限公司,聚陽實業全球運籌管理計畫,,"92年11月1日 至 95年4月30日","69,820 仟元","20,000 仟元","49,820 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=533
outputs/534.json,國際脈絡股份有限公司,脈絡網「Med-Hub」專案,,"92年10月1日 至 93年9月30日","24,564 仟元","9,500 仟元","15,064 仟元",http://itas.tdp.org.tw/content/application/itas/plan_apply/guest-cnt-browse.php?cnt_id=534
